Ὀλυμπιόδωρος | Ὀλυμπιόδωρος | grc | transcription | docs/texts/xml/caes0001.xml|<p>Ὀλυμπιόδωρος
τὸν | τὸν | grc | transcription | docs/texts/xml/caes0012.xml|<p><del>τὸν
προστάτην | προστάτην | grc | transcription | docs/texts/xml/caes0012.xml|<p><del><hi rend="ligature">προστάτη</hi>ν</del>.
Varios | Varios | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><persName lang="grc " ref="persons.xml#caes0012p01">Varios
Seleukos | Seleukos | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>Seleukos
curator | curator | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><rs type="occupation">curator
of | of | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>of
ships | ships | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>ships
for | for | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>for
the | the | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>the
colony | colony | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>colony
Caesarea | Caesarea | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><placeName>Caesarea
honors | honors | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>honors
as | as | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>as
his | his | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>his
patron | patron | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>patron
the | the | grc-transl | translation | docs/texts/xml/caes0012.xml|<p>the
philosopher | philosopher | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><rs type="occupation">philosopher
Titos | Titos | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><name><persName lang="la " ref="persons.xml#caes0012p02" nymRef="names.xml#caes0012n02">Titos
Flavios | Flavios | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><name><persName lang="la " ref="persons.xml#caes0012p03" nymRef="names.xml#caes0012n03">Flavios
Maximos | Maximos | grc-transl | translation | docs/texts/xml/caes0012.xml|<p><name><persName lang="la " ref="persons.xml#caes0012p04" nymRef="names.xml#caes0012n04">Maximos
Probo | probo | la | transcription | docs/texts/xml/caes0013.xml|<p>Probo
Augusto | augustus | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>Au</unclear>g</abbr>usto</ex></expan>
super | supo | la | transcription | docs/texts/xml/caes0013.xml|<p><unclear>s</unclear>uper
om | om | la | transcription | docs/texts/xml/caes0013.xml|<p><unclear>om</unclear>
nes | no | la | transcription | docs/texts/xml/caes0013.xml|<p><unclear>n</unclear>es
retro | retro | la | transcription | docs/texts/xml/caes0013.xml|<p>retro
principes | princeps | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>princ</unclear></abbr>ipes</ex></expan>
fortissimo | fortis | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>f</unclear>ortiss</abbr>imo</ex></expan>,
P | P | la | transcription | docs/texts/xml/caes0013.xml|<p>P</supplied>
assenianus | assenianus | la | transcription | docs/texts/xml/caes0013.xml|<p><unclear>a</unclear>ssenianus
vir | vir | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>v</abbr>ir</ex></expan>
clarissimus | clarus | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>c</abbr>larissimus</ex></expan>
praeses | praeses | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>praes</abbr>es</ex></expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>prov</abbr>inciae</ex></expan>
Syriae | Syriae | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>Syr</hi></abbr>iae</ex></expan>
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>Pal</abbr>aestinae</ex></expan>,
devotus | de_-voveo | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>d</abbr>evotus</ex></expan>
numini | numen | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>n</abbr>umini</ex></expan>
maiestatique | majestas | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><abbr>m</abbr>aiestati</ex>q</abbr>u</ex>e</abbr></expan>
eius | is | la | transcription | docs/texts/xml/caes0013.xml|<p><expan><ex>e</abbr>ius</ex></expan>.
To | To | la-transl | translation | docs/texts/xml/caes0013.xml|<p>To...
Probus | Probus | la-transl | translation | docs/texts/xml/caes0013.xml|<p><name><persName lang="la " ref="persons.xml#caes0013p01" nymRef="names.xml#caes0013n01">Probus
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0013.xml|<p><name><persName lang="la " ref="persons.xml#caes0013p02" nymRef="names.xml#caes0013n02">Augustus
most | most | la-transl | translation | docs/texts/xml/caes0013.xml|<p><name>...most
powerful | powerful | la-transl | translation | docs/texts/xml/caes0013.xml|<p>powerful
beyond | beyond | la-transl | translation | docs/texts/xml/caes0013.xml|<p>beyond
all | all | la-transl | translation | docs/texts/xml/caes0013.xml|<p>all
previous | previous | la-transl | translation | docs/texts/xml/caes0013.xml|<p>previous
princesPassenianus | princesPassenianus | la-transl | translation | docs/texts/xml/caes0013.xml|<p>princes...Passenianus
of | of | la-transl | translation | docs/texts/xml/caes0013.xml|<p>of
clarissimate | clarissimate | la-transl | translation | docs/texts/xml/caes0013.xml|<p><rs type="admTitle">clarissimate
rank | rank | la-transl | translation | docs/texts/xml/caes0013.xml|<p>rank
governor | governor | la-transl | translation | docs/texts/xml/caes0013.xml|<p><rs type="admTitle">governor
of | of | la-transl | translation | docs/texts/xml/caes0013.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0013.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0013.xml|<p>province
Syria | Syria | la-transl | translation | docs/texts/xml/caes0013.xml|<p><placeName>Syria
Palaestina | Palaestina | la-transl | translation | docs/texts/xml/caes0013.xml|<p><placeName>Palaestina
devoted | devoted | la-transl | translation | docs/texts/xml/caes0013.xml|<p>devoted
to | to | la-transl | translation | docs/texts/xml/caes0013.xml|<p>to
his | his | la-transl | translation | docs/texts/xml/caes0013.xml|<p>his
might | might | la-transl | translation | docs/texts/xml/caes0013.xml|<p>might
and | and | la-transl | translation | docs/texts/xml/caes0013.xml|<p>and
majesty | majesty | la-transl | translation | docs/texts/xml/caes0013.xml|<p>majesty.
Fortissimo | fortis | la | transcription | docs/texts/xml/caes0014.xml|<p>Fortissimo
et | et | la | transcription | docs/texts/xml/caes0014.xml|<p><hi rend="ligature">et</hi>
consultissimo | consultissimo | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>consult</abbr>issimo</ex></expan>
iuventutis | juventus | la | transcription | docs/texts/xml/caes0014.xml|<p>iuventutis
principi | princeps | la | transcription | docs/texts/xml/caes0014.xml|<p>principi
Galerio | Galerio | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>Galer</abbr>io</ex></expan>
Valerio | Valerio | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>Val</abbr>erio</ex></expan>
Maximiano | Maximiano | la | transcription | docs/texts/xml/caes0014.xml|<p>Maximiano
pio | pius | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>p</abbr>io</ex></expan>
felici | felix | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>f</abbr>elici</ex></expan>
invicto | invictus | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>invict</abbr>o</ex></expan>
nobilissimo | nobilis | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>nobil</abbr>issimo</ex></expan>
Caesari | Caesari | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>Caes</abbr>ari</ex></expan>,
Aufidius | Aufidius | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>Aufid</abbr>ius</ex></expan>
Priscus | priscus | la | transcription | docs/texts/xml/caes0014.xml|<p>Priscus
vir | vir | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>v</abbr>ir</ex></expan>
perfectissimus | perficio | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>p</abbr>erfectissimus</ex></expan>
praeses | praeses | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>pr</abbr>aeses</ex></expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>prov</abbr>inciae</ex></expan>
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>Pal</abbr>aestinae</ex></expan>,
devotus | de_-voveo | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>d</abbr>evotus</ex></expan>
numini | numen | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>n</abbr>umini</ex></expan>
maiestatique | majestas | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>m</abbr>aiestati</ex>q</abbr>ue</ex></expan>
eius | is | la | transcription | docs/texts/xml/caes0014.xml|<p><expan><ex>e</abbr>ius</ex></expan>.
To | To | la-transl | translation | docs/texts/xml/caes0014.xml|<p>To
the | the | la-transl | translation | docs/texts/xml/caes0014.xml|<p>the
strongest | strongest | la-transl | translation | docs/texts/xml/caes0014.xml|<p>strongest
and | and | la-transl | translation | docs/texts/xml/caes0014.xml|<p>and
wisest | wisest | la-transl | translation | docs/texts/xml/caes0014.xml|<p>wisest
leader | leader | la-transl | translation | docs/texts/xml/caes0014.xml|<p>leader
of | of | la-transl | translation | docs/texts/xml/caes0014.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0014.xml|<p>the
young | young | la-transl | translation | docs/texts/xml/caes0014.xml|<p>young
Galerius | Galerius | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name><persName lang="la " ref="persons.xml#caes0014p01" nymRef="names.xml#caes0014n01">Galerius
Valerius | Valerius | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name><persName lang="la " ref="persons.xml#caes0014p02" nymRef="names.xml#caes0014n02">Valerius
Maximianus | Maximianus | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name><persName lang="la " ref="persons.xml#caes0014p03" nymRef="names.xml#caes0014n03">Maximianus
faithful | faithful | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name>faithful
happy | happy | la-transl | translation | docs/texts/xml/caes0014.xml|<p>happy
unconquered | unconquered | la-transl | translation | docs/texts/xml/caes0014.xml|<p>unconquered
most | most | la-transl | translation | docs/texts/xml/caes0014.xml|<p>most
noble | noble | la-transl | translation | docs/texts/xml/caes0014.xml|<p>noble
Caesar | Caesar | la-transl | translation | docs/texts/xml/caes0014.xml|<p>Caesar.
Aufidius | Aufidius | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name><persName lang="la " ref="persons.xml#caes0014p04" nymRef="names.xml#caes0014n04">Aufidius
Priscus | Priscus | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name><persName lang="la " ref="persons.xml#caes0014p05" nymRef="names.xml#caes0014n05">Priscus
of | of | la-transl | translation | docs/texts/xml/caes0014.xml|<p><name>of
perfectissimate | perfectissimate | la-transl | translation | docs/texts/xml/caes0014.xml|<p><rs type="admTitle">perfectissimate
rank | rank | la-transl | translation | docs/texts/xml/caes0014.xml|<p>rank
governor | governor | la-transl | translation | docs/texts/xml/caes0014.xml|<p><rs type="admTitle">governor
of | of | la-transl | translation | docs/texts/xml/caes0014.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0014.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0014.xml|<p>province
Palaestina | Palaestina | la-transl | translation | docs/texts/xml/caes0014.xml|<p><placeName>Palaestina
devoted | devoted | la-transl | translation | docs/texts/xml/caes0014.xml|<p>devoted
to | to | la-transl | translation | docs/texts/xml/caes0014.xml|<p>to
his | his | la-transl | translation | docs/texts/xml/caes0014.xml|<p>his
might | might | la-transl | translation | docs/texts/xml/caes0014.xml|<p>might
and | and | la-transl | translation | docs/texts/xml/caes0014.xml|<p>and
majesty | majesty | la-transl | translation | docs/texts/xml/caes0014.xml|<p>majesty.
Decimo | decimus | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>D</abbr>ecimo</ex></expan>
Seio | Seio | la | transcription | docs/texts/xml/caes0015.xml|<p>Seio
Decimi | decimus | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>D</abbr>ecimi</ex></expan>
filio | filius | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>fil</abbr>io</ex></expan>
Quirina | Quirina | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>Quir</abbr>ina</ex></expan>
Senecae | Senecae | la | transcription | docs/texts/xml/caes0015.xml|<p>Senecae
legato | lego | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>leg</abbr>ato</ex></expan>
Augusti | augustus | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>Aug</abbr>usti</ex></expan>
pro | pro | la | transcription | docs/texts/xml/caes0015.xml|<p>pro
praetore | praetor | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>pr</abbr>aetore</ex></expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>provinc</abbr>iae</ex></expan>
Syriae | Syriae | la | transcription | docs/texts/xml/caes0015.xml|<p>Syriae
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>Palaest</abbr>inae</ex></expan>,
mandatu | mando | la | transcription | docs/texts/xml/caes0015.xml|<p>mandatu
Sexti | sextus | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>Sex</abbr>ti</ex></expan>
Cornelii | Cornelii | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>Corneli</abbr>i</ex></expan>
Quirina | Quirina | la | transcription | docs/texts/xml/caes0015.xml|<p>Quirina
Taurini | taurinus | la | transcription | docs/texts/xml/caes0015.xml|<p>Taurini
duumviralis | duumviralis | la | transcription | docs/texts/xml/caes0015.xml|<p><expan><ex>duum</ex>viral</abbr>is</ex></expan>,
Cornelius | Cornelius | la | transcription | docs/texts/xml/caes0015.xml|<p><del>Cornelius
Quintianus | Quintianus | la | transcription | docs/texts/xml/caes0015.xml|<p><del>Quintianus</del>
filius | filius | la | transcription | docs/texts/xml/caes0015.xml|<p>filius
To | To | la-transl | translation | docs/texts/xml/caes0015.xml|<p>To
Decimus | Decimus | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p01" nymRef="names.xml#caes0015n01">Decimus
Seius | Seius | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p02" nymRef="names.xml#caes0015n02">Seius
Seneca | Seneca | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p03" nymRef="names.xml#caes0015n03">Seneca
son | son | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><rs type="family">son
of | of | la-transl | translation | docs/texts/xml/caes0015.xml|<p>of
Decimus | Decimus | la-transl | translation | docs/texts/xml/caes0015.xml|<p><persName lang="la " ref="persons.xml#caes0015p04">Decimus
of | of | la-transl | translation | docs/texts/xml/caes0015.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0015.xml|<p>the
tribe | tribe | la-transl | translation | docs/texts/xml/caes0015.xml|<p>tribe
Quirina | Quirina | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name>Quirina
propraetorian | propraetorian | la-transl | translation | docs/texts/xml/caes0015.xml|<p><rs type="admTitle">propraetorian
legate | legate | la-transl | translation | docs/texts/xml/caes0015.xml|<p><rs type="admTitle">legate
of | of | la-transl | translation | docs/texts/xml/caes0015.xml|<p>of
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0015.xml|<p>Augustus
for | for | la-transl | translation | docs/texts/xml/caes0015.xml|<p>for
the | the | la-transl | translation | docs/texts/xml/caes0015.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0015.xml|<p>province
Syria | Syria | la-transl | translation | docs/texts/xml/caes0015.xml|<p><placeName>Syria
Palaestina | Palaestina | la-transl | translation | docs/texts/xml/caes0015.xml|<p>Palaestina.
By | By | la-transl | translation | docs/texts/xml/caes0015.xml|<p>By
order | order | la-transl | translation | docs/texts/xml/caes0015.xml|<p>order
of | of | la-transl | translation | docs/texts/xml/caes0015.xml|<p>of
Sextus | Sextus | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p05" nymRef="names.xml#caes0015n05">Sextus
Cornelius | Cornelius | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p06" nymRef="names.xml#caes0015n06">Cornelius
Taurinus | Taurinus | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p07" nymRef="names.xml#caes0015n07">Taurinus
of | of | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name>of
the | the | la-transl | translation | docs/texts/xml/caes0015.xml|<p>the
tribe | tribe | la-transl | translation | docs/texts/xml/caes0015.xml|<p>tribe
Quirina | Quirina | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name>Quirina
former | former | la-transl | translation | docs/texts/xml/caes0015.xml|<p>former
duumvir | duumvir | la-transl | translation | docs/texts/xml/caes0015.xml|<p>duumvir.
His | His | la-transl | translation | docs/texts/xml/caes0015.xml|<p>His
son | son | la-transl | translation | docs/texts/xml/caes0015.xml|<p><rs type="family">son
Cornelius | Cornelius | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p08" nymRef="names.xml#caes0015n08">Cornelius
Quintianus | Quintianus | la-transl | translation | docs/texts/xml/caes0015.xml|<p><name><persName lang="la " ref="persons.xml#caes0015p09" nymRef="names.xml#caes0015n09">Quintianus
Omni | omne | la | transcription | docs/texts/xml/caes0016.xml|<p>Omni
um | um | la | transcription | docs/texts/xml/caes0016.xml|<p><del><supplied reason="undefined">um
gentium | gens | la | transcription | docs/texts/xml/caes0016.xml|<p><del><supplied reason="undefined">gentium</supplied>
vere | verus | la | transcription | docs/texts/xml/caes0016.xml|<p>vere
victoriosiss | victoriosiss | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><abbr><supplied reason="undefined">victoriosiss</supplied>
victoriosissimo | victoriosissimo | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><expan>victoriosissimo</expan>
ac | atque | la | transcription | docs/texts/xml/caes0016.xml|<p>ac
felicissimo | felix | la | transcription | docs/texts/xml/caes0016.xml|<p><expan><ex>feli</abbr>cissimo</ex></expan>
ciss | ciss | la | transcription | docs/texts/xml/caes0016.xml|<p><del>ciss
indulgent | indulgeo | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><abbr><supplied reason="undefined">i</supplied>ndulgent</supplied>
indulgentissimo | indulgeo | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><expan>indulgentissimo</expan>
Caesari | Caesari | la | transcription | docs/texts/xml/caes0016.xml|<p><expan><ex>Caes</abbr>ari</ex></expan>
nostro | noster | la | transcription | docs/texts/xml/caes0016.xml|<p><expan><ex>n</abbr>ostro</ex></expan>
Marco | marcus | la | transcription | docs/texts/xml/caes0016.xml|<p><expan><ex>M</abbr>arco</ex></expan>
Aurelio | Aurelio | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>Aur</abbr>elio</ex></expan>
Probo | probo | la | transcription | docs/texts/xml/caes0016.xml|<p><del><supplied reason="undefined">Probo</gap></supplied>
invicto | invictus | la | transcription | docs/texts/xml/caes0016.xml|<p><expan><ex>invict</abbr>o</ex></expan>
Augusto | augustus | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><expan>Au</hi>g</abbr>Augusto</expan>
imperatori | imperator | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>imp</abbr>eratori</ex></expan>
Acilius | Acilius | la | transcription | docs/texts/xml/caes0016.xml|<p><del>Acilius
Cleobulus | Cleobulus | la | transcription | docs/texts/xml/caes0016.xml|<p><del><supplied reason="undefined">Cleobulus
vir | vir | la | transcription | docs/texts/xml/caes0016.xml|<p><del><supplied reason="undefined"><expan><ex>v</abbr>ir</ex></expan>
clarissimus | clarus | la | transcription | docs/texts/xml/caes0016.xml|<p><del><supplied reason="undefined"><expan><ex>c</abbr>larissimus</ex></expan>
praeses | praeses | la | transcription | docs/texts/xml/caes0016.xml|<p><choice><expan>praes</del></abbr>praeses</expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>prov</abbr>inciae</ex></expan>
Syriae | Syriae | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>Syr</abbr>iae</ex></expan>
Pal | Pal | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><abbr><supplied reason="undefined">Pal</supplied>
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><expan>Palaestinae</expan>
devotus | de_-voveo | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>d</abbr>evotus</ex></expan>
numini | numen | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>n</abbr>umini</ex></expan>
maiestatique | majestas | la | transcription | docs/texts/xml/caes0016.xml|<p><del><expan><ex>m</abbr>aiestatique</ex></expan>
e | ex | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><abbr><unclear>e</unclear>
eius | is | la | transcription | docs/texts/xml/caes0016.xml|<p><del><choice><expan>eius</expan>
To | To | la-transl | translation | docs/texts/xml/caes0016.xml|<p>To
our | our | la-transl | translation | docs/texts/xml/caes0016.xml|<p>our
Caesar | Caesar | la-transl | translation | docs/texts/xml/caes0016.xml|<p><rs type="admTitle">Caesar
Marcus | Marcus | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name><persName lang="la " ref="persons.xml#caes0016p01" nymRef="names.xml#caes0016n01">Marcus
Aurelius | Aurelius | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name><persName lang="la " ref="persons.xml#caes0016p02" nymRef="names.xml#caes0016n02">Aurelius
Probus | Probus | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name><persName lang="la " ref="persons.xml#caes0016p03" nymRef="names.xml#caes0016n03">Probus
unconquered | unconquered | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name>...unconquered
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0016.xml|<p>Augustus
Emperor | Emperor | la-transl | translation | docs/texts/xml/caes0016.xml|<p>Emperor...
truly | truly | la-transl | translation | docs/texts/xml/caes0016.xml|<p>truly
most | most | la-transl | translation | docs/texts/xml/caes0016.xml|<p>most
victorious | victorious | la-transl | translation | docs/texts/xml/caes0016.xml|<p>victorious
over | over | la-transl | translation | docs/texts/xml/caes0016.xml|<p>over
all | all | la-transl | translation | docs/texts/xml/caes0016.xml|<p>all
peoples | peoples | la-transl | translation | docs/texts/xml/caes0016.xml|<p>peoples
and | and | la-transl | translation | docs/texts/xml/caes0016.xml|<p>and
most | most | la-transl | translation | docs/texts/xml/caes0016.xml|<p>most
happy | happy | la-transl | translation | docs/texts/xml/caes0016.xml|<p>happy
and | and | la-transl | translation | docs/texts/xml/caes0016.xml|<p>and
forbearing | forbearing | la-transl | translation | docs/texts/xml/caes0016.xml|<p>forbearing.
Acilius | Acilius | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name><persName lang="la " ref="persons.xml#caes0016p04" nymRef="names.xml#caes0016n04">Acilius
Cleobulus | Cleobulus | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name><persName lang="la " ref="persons.xml#caes0016p05" nymRef="names.xml#caes0016n05">Cleobulus
of | of | la-transl | translation | docs/texts/xml/caes0016.xml|<p><name>of
clarissimate | clarissimate | la-transl | translation | docs/texts/xml/caes0016.xml|<p><rs type="admTitle">clarissimate
rank | rank | la-transl | translation | docs/texts/xml/caes0016.xml|<p>rank
governor | governor | la-transl | translation | docs/texts/xml/caes0016.xml|<p><rs type="admTitle">governor
of | of | la-transl | translation | docs/texts/xml/caes0016.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0016.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0016.xml|<p>province
Syria | Syria | la-transl | translation | docs/texts/xml/caes0016.xml|<p><placeName>Syria
Palaestina | Palaestina | la-transl | translation | docs/texts/xml/caes0016.xml|<p><placeName>Palaestina
devoted | devoted | la-transl | translation | docs/texts/xml/caes0016.xml|<p>devoted
to | to | la-transl | translation | docs/texts/xml/caes0016.xml|<p>to
his | his | la-transl | translation | docs/texts/xml/caes0016.xml|<p>his
might | might | la-transl | translation | docs/texts/xml/caes0016.xml|<p>might
and | and | la-transl | translation | docs/texts/xml/caes0016.xml|<p>and
majesty | majesty | la-transl | translation | docs/texts/xml/caes0016.xml|<p>majesty.
Fortissimo | fortis | la | transcription | docs/texts/xml/caes0017.xml|<p><supplied reason="undefined">Fortissimo</supplied>
consultissimo | consultissimo | la | transcription | docs/texts/xml/caes0017.xml|<p>consultissimo
iuventutis | juventus | la | transcription | docs/texts/xml/caes0017.xml|<p><supplied reason="undefined">iuven</supplied>tutis</supplied>
principi | princeps | la | transcription | docs/texts/xml/caes0017.xml|<p>principi
Flavio | Flavio | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>Fl</abbr>avio</ex></expan>
Valerio | Valerio | la | transcription | docs/texts/xml/caes0017.xml|<p>Valerio
Constantio | Constantio | la | transcription | docs/texts/xml/caes0017.xml|<p>Constantio
pio | pius | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>p</abbr>io</ex></expan>
felici | felix | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>f</abbr>elici</ex></expan>
invicto | invictus | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>invic</abbr>to</ex></expan>
nobilissimo | nobilis | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>nobilis</abbr>simo</ex></expan>
Caesari | Caesari | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>Caes</abbr>ari</ex></expan>,
Aufidius | Aufidius | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>Aufid</abbr>ius</ex></expan>
Priscus | priscus | la | transcription | docs/texts/xml/caes0017.xml|<p>Priscus
vir | vir | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>v</abbr>ir</ex></expan>
perfectissimus | perficio | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>p</abbr>erfectissimus</ex></expan>
praeses | praeses | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>praes</abbr>es</ex></expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>prov</abbr>inciae</ex></expan>
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>Pal</abbr>aestinae</ex></expan>,
devotus | de_-voveo | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>d</abbr>evotus</ex></expan>
numini | numen | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>n</abbr>umini</ex></expan>
maiestatique | majestas | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>m</abbr>aiestati</ex>q</abbr>ue</ex></expan>
eorum | is | la | transcription | docs/texts/xml/caes0017.xml|<p><expan><ex>eor</abbr>um</ex></expan>.
To | To | la-transl | translation | docs/texts/xml/caes0017.xml|<p>To
the | the | la-transl | translation | docs/texts/xml/caes0017.xml|<p>the
strongest | strongest | la-transl | translation | docs/texts/xml/caes0017.xml|<p>strongest
and | and | la-transl | translation | docs/texts/xml/caes0017.xml|<p>and
wisest | wisest | la-transl | translation | docs/texts/xml/caes0017.xml|<p>wisest
leader | leader | la-transl | translation | docs/texts/xml/caes0017.xml|<p>leader
