Text,Lemma,Language,Edition Type,XML Context,File
14, 14, grc-transl, translation, <p>14</p>, docs/texts/xml/caes0109.xml
gold, gold, grc-transl, translation, <p>gold</p>, docs/texts/xml/caes0109.xml
coins4, coins4, grc-transl, translation, <p>coins<lb/>4</p>, docs/texts/xml/caes0109.xml
13, 13, grc-transl, translation, <p>13</p>, docs/texts/xml/caes0109.xml
of, of, grc-transl, translation, <p>of</p>, docs/texts/xml/caes0109.xml
a, a, grc-transl, translation, <p>a</p>, docs/texts/xml/caes0109.xml
coin, coin, grc-transl, translation, <p>coin</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
montheach, montheach, grc-transl, translation, <p>month<space/>each</p>, docs/texts/xml/caes0109.xml
year3, year3, grc-transl, translation, <p>year<lb/>3</p>, docs/texts/xml/caes0109.xml
13, 13, grc-transl, translation, <p>13</p>, docs/texts/xml/caes0109.xml
518, 518, grc-transl, translation, <p>518</p>, docs/texts/xml/caes0109.xml
of, of, grc-transl, translation, <p>of</p>, docs/texts/xml/caes0109.xml
a, a, grc-transl, translation, <p>a</p>, docs/texts/xml/caes0109.xml
coin, coin, grc-transl, translation, <p>coin</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
month, month, grc-transl, translation, <p>month</p>, docs/texts/xml/caes0109.xml
12, 12, grc-transl, translation, <p>12</p>, docs/texts/xml/caes0109.xml
months, months, grc-transl, translation, <p>months</p>, docs/texts/xml/caes0109.xml
611, 611, grc-transl, translation, <p>611</p>, docs/texts/xml/caes0109.xml
1415, 1415, grc-transl, translation, <p>1415</p>, docs/texts/xml/caes0109.xml
gold, gold, grc-transl, translation, <p>gold</p>, docs/texts/xml/caes0109.xml
coins6, coins6, grc-transl, translation, <p>coins<lb/>6</p>, docs/texts/xml/caes0109.xml
12, 12, grc-transl, translation, <p>12</p>, docs/texts/xml/caes0109.xml
of, of, grc-transl, translation, <p>of</p>, docs/texts/xml/caes0109.xml
a, a, grc-transl, translation, <p>a</p>, docs/texts/xml/caes0109.xml
coin, coin, grc-transl, translation, <p>coin</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
stolos14, stolos14, grc-transl, translation, <p>stolos<lb/>14</p>, docs/texts/xml/caes0109.xml
1, 1, grc-transl, translation, <p>1</p>, docs/texts/xml/caes0109.xml
16, 16, grc-transl, translation, <p>16</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
mesites190, mesites190, grc-transl, translation, <p>mesites<lb/>190</p>, docs/texts/xml/caes0109.xml
15, 15, grc-transl, translation, <p>15</p>, docs/texts/xml/caes0109.xml
56, 56, grc-transl, translation, <p>56</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
dikeration100, dikeration100, grc-transl, translation, <p>dikeration<lb/>100</p>, docs/texts/xml/caes0109.xml
8, 8, grc-transl, translation, <p>8</p>, docs/texts/xml/caes0109.xml
13, 13, grc-transl, translation, <p>13</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
tetrakeration100, tetrakeration100, grc-transl, translation, <p>tetrakeration<lb/>100</p>, docs/texts/xml/caes0109.xml
8, 8, grc-transl, translation, <p>8</p>, docs/texts/xml/caes0109.xml
13, 13, grc-transl, translation, <p>13</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
synarchiai102, synarchiai102, grc-transl, translation, <p>synarchiai<lb/>102</p>, docs/texts/xml/caes0109.xml
16, 16, grc-transl, translation, <p>16</p>, docs/texts/xml/caes0109.xml
8, 8, grc-transl, translation, <p>8</p>, docs/texts/xml/caes0109.xml
3772, 3772, grc-transl, translation, <p>3772</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
poll-tax, poll-tax, grc-transl, translation, <p>poll-tax</p>, docs/texts/xml/caes0109.xml
and, and, grc-transl, translation, <p>and</p>, docs/texts/xml/caes0109.xml
hypopyrgion150, hypopyrgion150, grc-transl, translation, <p>hypopyrgion<lb/>150</p>, docs/texts/xml/caes0109.xml
12, 12, grc-transl, translation, <p>12</p>, docs/texts/xml/caes0109.xml
12, 12, grc-transl, translation, <p>12</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
octavarii, octavarii, grc-transl, translation, <p>octavarii</p>, docs/texts/xml/caes0109.xml
and, and, grc-transl, translation, <p>and</p>, docs/texts/xml/caes0109.xml
perfumers18, perfumers18, grc-transl, translation, <p>perfumers<lb/>18</p>, docs/texts/xml/caes0109.xml
1, 1, grc-transl, translation, <p>1</p>, docs/texts/xml/caes0109.xml
12, 12, grc-transl, translation, <p>12</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
tax, tax, grc-transl, translation, <p>tax</p>, docs/texts/xml/caes0109.xml
on, on, grc-transl, translation, <p>on</p>, docs/texts/xml/caes0109.xml
weights, weights, grc-transl, translation, <p>weights</p>, docs/texts/xml/caes0109.xml
and, and, grc-transl, translation, <p>and</p>, docs/texts/xml/caes0109.xml
measures24, measures24, grc-transl, translation, <p>measures<lb/>24</p>, docs/texts/xml/caes0109.xml
2, 2, grc-transl, translation, <p>2</p>, docs/texts/xml/caes0109.xml
coins, coins, grc-transl, translation, <p>coins</p>, docs/texts/xml/caes0109.xml
per, per, grc-transl, translation, <p>per</p>, docs/texts/xml/caes0109.xml
monthfrom, monthfrom, grc-transl, translation, <p>month<space/>from</p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
tax, tax, grc-transl, translation, <p>tax</p>, docs/texts/xml/caes0109.xml
on, on, grc-transl, translation, <p>on</p>, docs/texts/xml/caes0109.xml
councillors, councillors, grc-transl, translation, <p><rs type="occupation">councillors</rs></p>, docs/texts/xml/caes0109.xml
from, from, grc-transl, translation, <p><lb><space dim="horizontal">from</space></lb></p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p>the</p>, docs/texts/xml/caes0109.xml
pulse-dealers, pulse-dealers, grc-transl, translation, <p><rs type="occupation">pulse-dealers</rs></p>, docs/texts/xml/caes0109.xml
monthly, monthly, grc-transl, translation, <p><lb><space dim="horizontal">monthly</space></lb></p>, docs/texts/xml/caes0109.xml
ΕΝΧΑΙ, ΕΝΧΑΙ, grc, diplomatic, <p><gap reason="illegible" quantity="10" unit="character">ΕΝΧΑΙ</gap></p>, docs/texts/xml/caes0110.xml
ΤΟΙΣΑΥΤΟΙΣ, ΤΟΙΣΑΥΤΟΙΣ, grc, diplomatic, <p><lb><gap reason="illegible" quantity="4" unit="character">ΤΟΙΣΑΥΤΟΙΣ</gap></lb></p>, docs/texts/xml/caes0110.xml
ΑΥΤΟΜΟΝΟΜΕΡΕΣΟ, ΑΥΤΟΜΟΝΟΜΕΡΕΣΟ, grc, diplomatic, <p><lb><gap reason="illegible" quantity="2" unit="character">ΑΥΤΟΜΟΝΟΜΕΡΕΣΟ</gap></lb></p>, docs/texts/xml/caes0110.xml
ΝΟΥΑΧΡΙ, ΝΟΥΑΧΡΙ, grc, diplomatic, <p><lb><space><lb><gap reason="illegible" quantity="2" unit="character"><unclear>Ν</unclear>ΟΥΑΧΡΙ</gap></lb></space></lb></p>, docs/texts/xml/caes0110.xml
ΝΝ, ΝΝ, grc, diplomatic, <p>ΝΝ</p>, docs/texts/xml/caes0110.xml
ΑΠΟΦΑΣΙΣ, ΑΠΟΦΑΣΙΣ, grc, diplomatic, <p><gap reason="illegible" quantity="2" unit="character">ΑΠΟΦΑΣ<supplied>ΙΣ</supplied></gap></p>, docs/texts/xml/caes0111.xml
ΠΛΙΟΥΥΙΟΣΚ, ΠΛΙΟΥΥΙΟΣΚ, grc, diplomatic, <p><gap reason="illegible" quantity="1" unit="character"><lb><gap reason="illegible" quantity="2" unit="character">ΠΛΙΟΥΥΙΟΣΚ</gap></lb></gap></p>, docs/texts/xml/caes0111.xml
ΚΛΑΣΣΙΚΗΣ, ΚΛΑΣΣΙΚΗΣ, grc, diplomatic, <p><lb><gap reason="illegible" quantity="2" unit="character">ΚΛΑΣΣΙΚΗΣ</gap></lb></p>, docs/texts/xml/caes0111.xml
ΚΟΙΝΤΟΣ, ΚΟΙΝΤΟΣ, grc, diplomatic, <p>ΚΟ<supplied>ΙΝΤΟΣ</supplied></p>, docs/texts/xml/caes0111.xml
ΛΟΥΚΙΟΣΛΕΙΟ, ΛΟΥΚΙΟΣΛΕΙΟ, grc, diplomatic, <p>ΛΟΥΚΙΟΣΛΕΙΟ</p>, docs/texts/xml/caes0111.xml
ΚΟΙΝΤΟΣ, ΚΟΙΝΤΟΣ, grc, diplomatic, <p>ΚΟΙΝΤ<supplied>ΟΣ</supplied></p>, docs/texts/xml/caes0111.xml
ΚΟΣΤΑ, ΚΟΣΤΑ, grc, diplomatic, <p><gap reason="illegible" quantity="1" unit="character"><lb><gap reason="illegible" quantity="4" unit="character">ΚΟΣΤ<unclear>Α</unclear></gap></lb></gap></p>, docs/texts/xml/caes0111.xml
ΠΡΟ, ΠΡΟ, grc, diplomatic, <p><gap reason="illegible" quantity="3" unit="character"><lb><gap reason="illegible" quantity="5" unit="character">ΠΡ<unclear>Ο</unclear></gap></lb></gap></p>, docs/texts/xml/caes0111.xml
decisionlist, decisionlist, grc-transl, translation, <p>decisionlist</p>, docs/texts/xml/caes0111.xml
son, son, grc-transl, translation, <p>son</p>, docs/texts/xml/caes0111.xml
of--plius, of--plius, grc-transl, translation, <p>of--plius</p>, docs/texts/xml/caes0111.xml
K--, K--, grc-transl, translation, <p>K--</p>, docs/texts/xml/caes0111.xml
Klassike, Klassike, grc-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0111p01">Klassike</persName></name></p>, docs/texts/xml/caes0111.xml
Kointos, Kointos, grc-transl, translation, <p><name><name><persName lang="la " ref="persons.xml#caes0111p02">Kointos</persName></name></name></p>, docs/texts/xml/caes0111.xml
Loukios, Loukios, grc-transl, translation, <p><name><name><persName lang="la " ref="persons.xml#caes0111p03">Loukios</persName></name></name></p>, docs/texts/xml/caes0111.xml
Leio--, Leio--, grc-transl, translation, <p><name>Leio--</name></p>, docs/texts/xml/caes0111.xml
Kointos, Kointos, grc-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0111p04">Kointos</persName></name></p>, docs/texts/xml/caes0111.xml
τῶν, ὁ, grc, transcription, <p><gap reason="illegible" quantity="2" unit="character"><unclear><unclear>τ</unclear>ῶν</unclear></gap></p>, docs/texts/xml/caes0112.xml
δ, δ, grc, transcription, <p>δ</p>, docs/texts/xml/caes0112.xml
ω, ω, grc, transcription, <p><gap reason="illegible" quantity="3" unit="character"><lb><gap reason="illegible" quantity="2" unit="character">ω</gap></lb></gap></p>, docs/texts/xml/caes0112.xml
λύουσιν, λύουσιν, grc, transcription, <p>λύουσιν</p>, docs/texts/xml/caes0112.xml
τ, τ, grc, transcription, <p><gap reason="illegible" quantity="2" unit="character"><lb><gap reason="illegible" quantity="1" unit="character"><supplied reason="undefined">τ</supplied></gap></lb></gap></p>, docs/texts/xml/caes0112.xml
ῶν, ῶν, grc, transcription, <p><unclear>ῶ</unclear>ν</p>, docs/texts/xml/caes0112.xml
νόμων, νόμων, grc, transcription, <p>νόμων</p>, docs/texts/xml/caes0112.xml
ε, ε, grc, transcription, <p><gap reason="illegible" quantity="3" unit="character"><unclear>ε</unclear></gap></p>, docs/texts/xml/caes0113.xml
ἤλπισαν, ἐλπίζω, grc, transcription, <p><unclear>ἤ</unclear>λπισαν</p>, docs/texts/xml/caes0113.xml
ἐ, ἐ, grc, transcription, <p><unclear>ἐ</unclear></p>, docs/texts/xml/caes0113.xml
π’, π’, grc, transcription, <p><supplied reason="undefined">π’</supplied></p>, docs/texts/xml/caes0113.xml
ταῦτα, οὗτος, grc, transcription, <p><supplied>τ</supplied>αῦτα</p>, docs/texts/xml/caes0113.xml
σῷζον, σώζω, grc, transcription, <p><unclear>σ</unclear>ῷζον</p>, docs/texts/xml/caes0113.xml
οντα, οντα, grc, transcription, <p><unclear><unclear><unclear>οντα</unclear></unclear></unclear></p>, docs/texts/xml/caes0113.xml
ἄλογα, ἄλογος, grc, transcription, <p>ἄλογα</p>, docs/texts/xml/caes0113.xml
they, they, grc-transl, translation, <p>they</p>, docs/texts/xml/caes0113.xml
believed, believed, grc-transl, translation, <p>believed</p>, docs/texts/xml/caes0113.xml
in, in, grc-transl, translation, <p>in</p>, docs/texts/xml/caes0113.xml
these, these, grc-transl, translation, <p>these</p>, docs/texts/xml/caes0113.xml
things, things, grc-transl, translation, <p>things</p>, docs/texts/xml/caes0113.xml
preserving, preserving, grc-transl, translation, <p>preserving</p>, docs/texts/xml/caes0113.xml
animals, animals, grc-transl, translation, <p>animals</p>, docs/texts/xml/caes0113.xml
τάλαντον, τάλαντον, grc, transcription, <p>τάλαντον</p>, docs/texts/xml/caes0114.xml
τῆς, ὁ, grc, transcription, <p>τῆς</p>, docs/texts/xml/caes0114.xml
ἁγίας, ἁγίας, grc, transcription, <p>ἁγίας</p>, docs/texts/xml/caes0114.xml
Μαρίας, Μαρίας, grc, transcription, <p>Μαρίας</p>, docs/texts/xml/caes0114.xml
The, The, grc-transl, translation, <p>The</p>, docs/texts/xml/caes0114.xml
weight, weight, grc-transl, translation, <p>weight</p>, docs/texts/xml/caes0114.xml
of, of, grc-transl, translation, <p>of</p>, docs/texts/xml/caes0114.xml
Saint, Saint, grc-transl, translation, <p>Saint</p>, docs/texts/xml/caes0114.xml
Mary, Mary, grc-transl, translation, <p>Mary</p>, docs/texts/xml/caes0114.xml
ΝΕΟ, ΝΕΟ, grc, diplomatic, <p><gap reason="illegible" quantity="2" unit="character">ΝΕΟ</gap></p>, docs/texts/xml/caes0115.xml
ΝΤΑ, ΝΤΑ, grc, diplomatic, <p><lb><gap reason="illegible" quantity="2" unit="character">ΝΤΑ</gap></lb></p>, docs/texts/xml/caes0115.xml
ΡΙΤ, ΡΙΤ, grc, diplomatic, <p><gap reason="illegible" quantity="3" unit="character"><unclear>Ρ</unclear>ΙΤ</gap></p>, docs/texts/xml/caes0116.xml
ΥβΟ, ΥβΟ, grc, diplomatic, <p><gap reason="illegible" quantity="3" unit="character"><unclear>Υ</unclear>βΟ</gap></p>, docs/texts/xml/caes0116.xml
γ, γ, grc, transcription, <p>γ</p>, docs/texts/xml/caes0118.xml
sgadeIulius, sgadeIulius, la, transcription, <p><gap reason="illegible" atLeast="22" atMost="24" unit="character"><unclear>s</unclear>gade<lb/>Iulius</gap></p>, docs/texts/xml/caes0119.xml
Magnus, magnus, la, transcription, <p><expan><abbr>Magnu</abbr><ex>s</ex></expan></p>, docs/texts/xml/caes0119.xml
legionis, legio, la, transcription, <p><lb><choice><abbr><expan><expan><abbr>leg</abbr><ex>ionis</ex></expan></expan></abbr></choice></lb></p>, docs/texts/xml/caes0119.xml
XII, XII, la, transcription, <p>XII</p>, docs/texts/xml/caes0119.xml
Fulminatae, fulmino, la, transcription, <p><expan><abbr>Fulm</abbr><ex>inatae</ex></expan></p>, docs/texts/xml/caes0119.xml
Julius, Julius, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0119p01">Julius</persName></name></p>, docs/texts/xml/caes0119.xml
Magnus, Magnus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0119p02">Magnus</persName></name></p>, docs/texts/xml/caes0119.xml
a, a, la-transl, translation, <p><name>a</name></p>, docs/texts/xml/caes0119.xml
centurion, centurion, la-transl, translation, <p><rs type="admTitle">centurion</rs></p>, docs/texts/xml/caes0119.xml
of, of, la-transl, translation, <p>of</p>, docs/texts/xml/caes0119.xml
Legio, Legio, la-transl, translation, <p>Legio</p>, docs/texts/xml/caes0119.xml
XII, XII, la-transl, translation, <p>XII</p>, docs/texts/xml/caes0119.xml
Fulminata, Fulminata, la-transl, translation, <p>Fulminata</p>, docs/texts/xml/caes0119.xml
CE, CE, la, diplomatic, <p><gap reason="illegible" quantity="4" unit="character">CE</gap></p>, docs/texts/xml/caes0120.xml
OAN, OAN, la, diplomatic, <p><lb><gap reason="illegible" quantity="4" unit="character">OAN</gap></lb></p>, docs/texts/xml/caes0120.xml
MAGISTER, magister, la, diplomatic, <p><lb><gap reason="illegible" quantity="2" unit="character"><supplied>M</supplied>AGISTE<supplied>R</supplied></gap></lb></p>, docs/texts/xml/caes0120.xml
VIXITANNOS, VIXITANNOS, la, diplomatic, <p><gap reason="illegible" quantity="1" unit="character"><lb><supplied>VIXIT</supplied>ANNO<supplied>S</supplied></lb></gap></p>, docs/texts/xml/caes0120.xml
PVB, PVB, la, diplomatic, <p><gap reason="illegible" quantity="1" unit="character"><lb><gap reason="illegible" quantity="3" unit="character">PVB</gap></lb></gap></p>, docs/texts/xml/caes0120.xml
FATORI, FATORI, la, diplomatic, <p><del unit="characters" extent="5"><lb><gap reason="illegible" quantity="4" unit="character"><unclear>F</unclear>ATORI</gap></lb></del></p>, docs/texts/xml/caes0121.xml
IE, IE, la, diplomatic, <p><del unit="characters" extent="5"><lb><gap reason="illegible" quantity="3" unit="character">I<gap/>E</gap></lb></del></p>, docs/texts/xml/caes0121.xml
M, M, la, diplomatic, <p><lb><gap reason="illegible" quantity="4" unit="character">M</gap></lb></p>, docs/texts/xml/caes0121.xml
di, di, unk, transcription, <p><gap reason="illegible" quantity="2" unit="character">d<unclear>i</unclear></gap></p>, docs/texts/xml/caes0122.xml
m, m, unk, transcription, <p><unclear>m</unclear></p>, docs/texts/xml/caes0122.xml
sevir, sevir, unk, transcription, <p><gap reason="illegible" quantity="2" unit="character"><lb><supplied reason="undefined">sevir</supplied></lb></gap></p>, docs/texts/xml/caes0122.xml
Augustalis, Augustalis, unk, transcription, <p>Augustalis</p>, docs/texts/xml/caes0122.xml
coloniae, coloniae, unk, transcription, <p><gap reason="illegible"><expan><abbr>colon</abbr><ex>iae</ex></expan></gap></p>, docs/texts/xml/caes0122.xml
pro, pro, unk, transcription, <p>pro</p>, docs/texts/xml/caes0122.xml
ludis, ludis, unk, transcription, <p><supplied reason="undefined">ludis</supplied></p>, docs/texts/xml/caes0122.xml
Augustalibus, Augustalibus, unk, transcription, <p><expan><abbr>Augustali</abbr><ex>bus</ex></expan></p>, docs/texts/xml/caes0122.xml
fecit, fecit, unk, transcription, <p><expan><abbr>fec</abbr><ex>it</ex></expan></p>, docs/texts/xml/caes0122.xml
ex, ex, unk, transcription, <p><lb><space>ex</space></lb></p>, docs/texts/xml/caes0122.xml
decreto, decreto, unk, transcription, <p><expan><abbr>d</abbr><ex>ecreto</ex></expan></p>, docs/texts/xml/caes0122.xml
decurionum, decurionum, unk, transcription, <p><expan><abbr>d</abbr><ex>ecurionum</ex></expan></p>, docs/texts/xml/caes0122.xml
an, an, unk-transl, translation, <p>an</p>, docs/texts/xml/caes0122.xml
Augustal, Augustal, unk-transl, translation, <p><rs type="admTitle">Augustal</rs></p>, docs/texts/xml/caes0122.xml
one, one, unk-transl, translation, <p>one</p>, docs/texts/xml/caes0122.xml
of, of, unk-transl, translation, <p>of</p>, docs/texts/xml/caes0122.xml
the, the, unk-transl, translation, <p>the</p>, docs/texts/xml/caes0122.xml
Six, Six, unk-transl, translation, <p><rs type="admTitle">Six</rs></p>, docs/texts/xml/caes0122.xml
Men, Men, unk-transl, translation, <p><rs type="admTitle">Men</rs></p>, docs/texts/xml/caes0122.xml
of, of, unk-transl, translation, <p>of</p>, docs/texts/xml/caes0122.xml
the, the, unk-transl, translation, <p>the</p>, docs/texts/xml/caes0122.xml
colony, colony, unk-transl, translation, <p>colony</p>, docs/texts/xml/caes0122.xml
made, made, unk-transl, translation, <p>made</p>, docs/texts/xml/caes0122.xml
it, it, unk-transl, translation, <p>it</p>, docs/texts/xml/caes0122.xml
for, for, unk-transl, translation, <p>for</p>, docs/texts/xml/caes0122.xml
the, the, unk-transl, translation, <p>the</p>, docs/texts/xml/caes0122.xml
Augustan, Augustan, unk-transl, translation, <p>Augustan</p>, docs/texts/xml/caes0122.xml
competitions, competitions, unk-transl, translation, <p>competitions</p>, docs/texts/xml/caes0122.xml
by, by, unk-transl, translation, <p>by</p>, docs/texts/xml/caes0122.xml
the, the, unk-transl, translation, <p>the</p>, docs/texts/xml/caes0122.xml
decree, decree, unk-transl, translation, <p>decree</p>, docs/texts/xml/caes0122.xml
of, of, unk-transl, translation, <p>of</p>, docs/texts/xml/caes0122.xml
the, the, unk-transl, translation, <p>the</p>, docs/texts/xml/caes0122.xml
decurions, decurions, unk-transl, translation, <p>decurions</p>, docs/texts/xml/caes0122.xml
augures, augures, grc, transcription, <p><gap reason="lost" extent="unknown" unit="character"><gap reason="illegible" quantity="4" unit="character"><g type="leaf"><lb><gap reason="illegible" quantity="2" unit="character"><expan><abbr>augur</abbr><ex>e<abbr>s</ex></abbr></expan></gap></lb></g></gap></gap></p>, docs/texts/xml/caes0123.xml
Οὐίκτορ, Οὐίκτορ, unk, transcription, <p>Οὐίκτορ</p>, docs/texts/xml/caes0124.xml
εὐξά­, εὐξά­, unk, transcription, <p>εὐξ<unclear>ά­</unclear></p>, docs/texts/xml/caes0124.xml
μενος, μενος, unk, transcription, <p>μενος</p>, docs/texts/xml/caes0124.xml
ἀνέ­, ἀνέ­, unk, transcription, <p>ἀνέ­</p>, docs/texts/xml/caes0124.xml
θηκεν, θηκεν, unk, transcription, <p>θηκεν</p>, docs/texts/xml/caes0124.xml
κὲ, κὲ, unk, transcription, <p>κὲ</p>, docs/texts/xml/caes0124.xml
ἠρ­, ἠρ­, unk, transcription, <p>ἠρ­</p>, docs/texts/xml/caes0124.xml
γάσετο, γάσετο, unk, transcription, <p>γάσετο</p>, docs/texts/xml/caes0124.xml
τῷ, τῷ, unk, transcription, <p>τῷ</p>, docs/texts/xml/caes0124.xml
Διὶ, Διὶ, unk, transcription, <p><expan><abbr>Δι</abbr><ex>ὶ</ex></expan></p>, docs/texts/xml/caes0124.xml
Δολιχηνῷ, Δολιχηνῷ, unk, transcription, <p><lb>Δολιχηνῷ</lb></p>, docs/texts/xml/caes0124.xml
Viktor, Viktor, unk-transl, translation, <p><persName lang="grc " ref="persons.xml#caes0124p01">Viktor</persName></p>, docs/texts/xml/caes0124.xml
in, in, unk-transl, translation, <p>in</p>, docs/texts/xml/caes0124.xml
fulfillment, fulfillment, unk-transl, translation, <p>fulfillment</p>, docs/texts/xml/caes0124.xml
of, of, unk-transl, translation, <p>of</p>, docs/texts/xml/caes0124.xml
a, a, unk-transl, translation, <p>a</p>, docs/texts/xml/caes0124.xml
vow, vow, unk-transl, translation, <p>vow</p>, docs/texts/xml/caes0124.xml
deciated, deciated, unk-transl, translation, <p>deciated</p>, docs/texts/xml/caes0124.xml
and, and, unk-transl, translation, <p>and</p>, docs/texts/xml/caes0124.xml
built, built, unk-transl, translation, <p>built</p>, docs/texts/xml/caes0124.xml
this, this, unk-transl, translation, <p>this</p>, docs/texts/xml/caes0124.xml
altar, altar, unk-transl, translation, <p>altar</p>, docs/texts/xml/caes0124.xml
to, to, unk-transl, translation, <p>to</p>, docs/texts/xml/caes0124.xml
Zeus, Zeus, unk-transl, translation, <p><rs type="divine">Zeus</rs></p>, docs/texts/xml/caes0124.xml
Jupiter, Jupiter, unk-transl, translation, <p><rs type="divine">Jupiter</rs></p>, docs/texts/xml/caes0124.xml
Dolichenos, Dolichenos, unk-transl, translation, <p>Dolichenos</p>, docs/texts/xml/caes0124.xml
Θεῶι, Θεῶι, unk, transcription, <p>Θεῶι</p>, docs/texts/xml/caes0125.xml
Μεγάλωι, Μεγάλωι, unk, transcription, <p>Μεγάλωι</p>, docs/texts/xml/caes0125.xml
Δε, Δε, unk, transcription, <p>Δ<unclear>ε</unclear></p>, docs/texts/xml/caes0125.xml
ς, ς, unk, transcription, <p><unclear>ς</unclear></p>, docs/texts/xml/caes0125.xml
πότηι, πότηι, unk, transcription, <p><supplied reason="undefined">πότηι</supplied></p>, docs/texts/xml/caes0125.xml
To, To, unk-transl, translation, <p>To</p>, docs/texts/xml/caes0125.xml
God, God, unk-transl, translation, <p><rs type="divine">God</rs></p>, docs/texts/xml/caes0125.xml
Megas, Megas, unk-transl, translation, <p><rs type="divine">Megas</rs></p>, docs/texts/xml/caes0125.xml
Despotes, Despotes, unk-transl, translation, <p><rs type="divine">Despotes</rs></p>, docs/texts/xml/caes0125.xml
Κοΐντος, Κοΐντος, unk, transcription, <p><expan><abbr>Κ</abbr><ex>οΐντος</ex></expan></p>, docs/texts/xml/caes0126.xml
Καικίλλιος, Καικίλλιος, unk, transcription, <p>Καικίλλιος</p>, docs/texts/xml/caes0126.xml
ους, ους, unk, transcription, <p><unclear><gap reason="illegible" quantity="1" unit="character">ους</gap></unclear></p>, docs/texts/xml/caes0126.xml
κωμῳδὸς, κωμῳδὸς, unk, transcription, <p>κωμῳδὸς</p>, docs/texts/xml/caes0126.xml
πρωτο­, πρωτο­, unk, transcription, <p><supplied>πρω</supplied>το­</p>, docs/texts/xml/caes0126.xml
λόγος, λόγος, unk, transcription, <p>λόγος</p>, docs/texts/xml/caes0126.xml
Ἀντιοχεὺς, Ἀντιοχεὺς, unk, transcription, <p>Ἀντιοχε<supplied>ὺς</supplied></p>, docs/texts/xml/caes0126.xml
τῶν, τῶν, unk, transcription, <p><lb>τῶν</lb></p>, docs/texts/xml/caes0126.xml
πρὸς, πρὸς, unk, transcription, <p>πρὸς</p>, docs/texts/xml/caes0126.xml
